trade_date,close,turnover_rate,pe,pb,ps,dv_ratio,total_mv
20150415,16.65,2.8953,11.5276,1.7701,3.1096,0.6673,22826939.78
20150416,17,2.0903,11.7699,1.8073,3.175,0.6536,23306785.36
20150417,16.93,2.2107,11.7215,1.7998,3.1619,0.6563,23210816.25
20150420,16.3,2.9204,11.2853,1.7329,3.0443,0.6817,22347094.2
20150421,16.56,2.0467,11.4653,1.7605,3.0928,0.671,22703550.92
20150422,16.95,2.3493,11.7353,1.802,3.1657,0.6555,23238236
20150423,16.66,1.9652,11.5345,1.7711,3.1115,0.6669,22840649.66
20150424,16.14,2.0695,11.1745,1.6425,3.0144,0.6884,22127736.22
20150427,16.42,2.0845,11.3684,1.671,3.0667,0.6767,22511612.69
20150428,16.7,4.0355,11.5622,1.6995,3.119,0.6653,22895489.15
20150429,16.65,1.8224,11.5276,1.6944,3.1096,0.6673,22826939.78
20150430,16.7,2.4488,11.5622,1.6995,3.119,0.6653,22895489.15
20150504,16.52,1.2094,11.4376,1.6812,3.0854,0.6726,22648711.43
20150505,15.86,1.9479,10.9806,1.6141,2.9621,0.7006,21743859.76
20150506,15.72,1.6519,10.8837,1.5998,2.9359,0.7068,21551921.53
20150507,15.67,1.0663,10.8491,1.5947,2.9266,0.7091,21483372.16
20150508,15.85,1.1644,10.9737,1.613,2.9602,0.701,21730149.88
20150511,16.03,1.7986,11.0983,1.6314,2.9938,0.6931,21976927.61
20150512,15.96,1.6856,11.0499,1.6242,2.9808,0.6962,21880958.5
20150513,15.88,1.4881,10.9945,1.6161,2.9658,0.6997,21771279.51
20150514,15.89,1.2182,11.0014,1.6171,2.9677,0.6993,21784989.38
20150515,15.45,1.4848,10.6968,1.5723,2.8855,0.7192,21181754.93
20150518,15.18,1.3022,10.5098,1.5448,2.8351,0.732,20811588.34
20150519,15.59,1.6247,10.7937,1.5866,2.9117,0.7127,21373693.17
20150520,15.74,2.1939,10.8976,1.6018,2.9397,0.7059,21579341.27
20150521,15.79,1.191,11.4097,1.5619,3.0778,0.6742,22593399.62
20150522,16.27,2.2212,11.7565,1.6093,3.1714,0.6543,23280216.08
20150525,16.6,2.3131,11.995,1.642,3.2357,0.6413,23752402.39
20150526,16.62,2.3655,12.0094,1.644,3.2396,0.6406,23781019.74
20150527,16.48,1.9834,11.9082,1.6301,3.2123,0.646,23580698.28
20150528,15.5,2.3154,11.2001,1.5332,3.0213,0.6868,22178448.02
20150529,15.32,1.707,11.07,1.5154,2.9862,0.6949,21920891.84
20150601,15.9,1.8285,11.4891,1.5728,3.0993,0.6696,22750795.06
20150602,15.77,1.6137,11.3952,1.5599,3.0739,0.6751,22564782.27
20150603,15.83,1.6734,11.4386,1.5658,3.0856,0.6725,22650634.33
20150604,16.37,3.1197,11.8288,1.6192,3.1909,0.6503,23423302.84
